11	38:3	70:26	113:9	175:15	195:23	427:5	493:2	777:5	1209:23	1737:0	1749:0
11	21:6	88:2	124:3	150:6	182:6	366:15	700:7	724:0	1216:13	1491:0	1503:0
11	16:12	54:27	106:9	149:15	221:1	296:2	716:15	887:27	1030:12	1682:0	1694:0
11	43:25	53:17	108:8	137:6	184:5	367:22	666:0	778:26	1225:1	1962:0	1974:0
11	28:6	65:2	122:21	132:0	181:0	357:19	444:0	757:0	1261:2	1980:0	1992:0
11	15:9	78:28	85:5	161:26	185:0	265:11	562:17	986:27	1144:1	1925:0	1937:0
11	0:4	81:25	102:0	186:7	212:7	413:8	635:19	924:24	1058:26	1397:0	1409:0
11	13:0	95:10	100:0	189:18	200:6	286:12	610:0	722:22	1052:0	1948:0	1960:0
11	29:12	50:18	112:11	177:0	225:3	397:21	484:14	948:1	1281:2	2121:0	2133:0
11	41:11	74:3	135:2	168:23	207:10	318:20	699:7	986:0	1279:2	1808:0	1820:0
11	7:14	59:6	88:1	152:0	224:1	269:12	675:24	922:2	1072:2	1904:0	1916:0
11	31:25	66:0	121:5	134:0	210:21	424:0	617:22	938:0	1226:4	1862:0	1874:0
11	13:22	55:1	117:3	159:17	193:2	348:0	528:5	918:1	1179:4	2022:0	2034:0
11	40:12	89:23	104:9	165:6	213:22	255:22	612:1	796:15	1122:8	1535:0	1547:0
11	41:11	90:22	105:8	166:5	214:21	256:21	613:0	797:14	1123:7	1524:0	1536:0
11	47:4	54:2	128:9	164:5	190:18	327:3	461:7	980:6	1073:0	2127:0	2139:0
11	6:26	52:1	109:20	156:4	191:1	324:1	579:3	869:0	1037:0	1336:0	1348:0
11	3:23	63:10	129:7	158:6	201:10	392:0	715:0	969:9	1014:0	1877:0	1889:0
11	34:22	74:0	123:4	165:9	198:12	403:13	548:27	835:4	1064:2	1465:0	1477:0
11	10:10	46:6	120:10	166:4	220:22	229:29	658:7	888:1	1244:20	1427:0	1439:0
11	22:0	52:0	98:29	169:7	195:0	357:5	602:0	853:21	1247:0	1370:0	1382:0
11	19:28	50:0	138:3	178:24	216:20	400:12	585:8	785:29	1258:3	2065:0	2077:0
