10	17:0	32:1	71:1	88:11	103:1	190:1	258:0	423:3	834:0	858:0
10	1:6	26:2	58:4	82:10	116:6	141:7	347:10	547:9	599:0	623:0
10	7:11	30:4	62:0	89:5	101:5	234:0	259:4	544:11	948:0	972:0
10	12:11	35:4	67:0	94:5	106:5	239:0	240:5	549:11	953:0	977:0
10	13:14	47:3	64:4	87:8	107:13	191:8	289:5	535:5	703:0	727:0
10	4:0	43:0	58:1	75:11	114:0	177:1	245:0	410:3	821:0	845:0
10	2:13	30:10	52:1	88:0	104:1	231:1	367:2	449:5	927:0	951:0
10	6:7	24:12	48:1	76:12	96:1	204:9	313:12	558:0	1050:0	1074:0
10	12:14	46:3	63:4	86:8	106:13	190:8	288:5	534:5	702:0	726:0
10	11:5	27:4	70:9	90:1	119:13	157:1	392:9	435:1	761:0	785:0
10	7:11	34:0	61:4	74:2	111:13	231:9	370:9	487:0	654:0	678:0
10	4:7	42:5	48:7	91:10	108:0	133:0	268:1	455:1	900:0	924:0
10	2:7	25:3	52:6	81:2	105:7	199:2	337:9	514:2	887:0	911:0
10	12:5	37:1	69:3	93:9	103:6	128:7	358:9	534:9	586:0	610:0
10	1:11	39:11	68:5	83:12	119:12	154:3	315:1	428:1	848:0	872:0
10	3:7	41:5	71:6	90:10	107:0	132:0	267:1	454:1	899:0	923:0
10	17:6	40:2	67:5	72:2	96:7	214:1	352:8	505:2	878:0	902:0
10	5:1	43:0	50:3	80:14	112:0	188:5	363:10	563:13	731:0	755:0
10	14:6	24:1	61:1	82:2	98:10	159:5	319:1	519:11	596:0	1075:0
10	13:7	27:6	57:7	76:11	117:0	142:0	277:1	440:2	909:0	933:0
10	8:14	47:11	69:3	73:2	100:14	226:3	283:4	478:1	636:0	660:0
10	17:3	45:3	68:1	83:3	106:12	137:6	310:10	557:0	768:0	792:0
10	6:6	40:0	53:1	74:2	114:9	151:5	335:0	511:11	588:0	1067:0
10	1:13	29:10	51:1	87:0	103:1	230:1	366:2	448:5	926:0	950:0
10	20:14	42:6	50:10	73:9	104:0	163:0	339:12	416:12	808:0	832:0
10	15:6	25:1	62:1	83:2	99:10	160:5	320:1	520:11	597:0	1076:0
10	12:5	28:4	71:9	91:1	96:14	158:1	393:9	436:1	762:0	786:0
10	2:4	30:4	53:2	92:3	115:12	122:7	295:11	566:0	777:0	801:0
10	19:5	44:1	52:4	76:10	110:6	135:7	341:10	541:9	593:0	617:0
10	22:11	42:1	69:3	75:4	97:1	208:5	300:4	459:1	620:0	644:0
10	9:14	31:6	63:9	86:8	117:14	152:0	352:11	429:11	797:0	821:0
10	7:14	29:6	61:9	84:8	115:14	150:0	350:11	427:11	795:0	819:0
10	10:8	47:1	67:3	94:0	104:1	123:1	395:6	467:12	687:0	711:0
10	22:7	35:1	55:3	82:0	116:0	135:0	407:5	479:11	675:0	699:0
10	3:14	42:11	64:3	92:1	119:13	221:3	278:4	473:1	631:0	655:0
10	19:14	41:6	49:10	72:9	103:0	162:0	338:12	415:12	807:0	831:0
10	5:14	44:11	66:3	94:1	97:14	223:3	280:4	475:1	633:0	657:0
10	8:7	46:5	52:7	95:10	112:0	137:0	272:1	435:2	904:0	928:0
10	10:4	38:4	61:2	76:4	99:13	130:7	303:11	574:0	785:0	809:0
10	11:6	45:0	58:1	79:2	119:9	156:5	316:1	516:11	593:0	1072:0
10	20:10	34:11	63:5	78:12	114:12	149:3	334:0	423:1	843:0	867:0
10	23:5	33:0	70:0	91:1	107:9	144:5	328:0	504:11	581:0	1060:0
10	17:14	32:12	54:4	82:2	109:14	235:3	268:5	463:2	645:0	669:0
10	16:14	31:12	53:4	81:2	108:14	234:3	267:5	462:2	644:0	668:0
10	5:1	24:1	66:3	79:0	97:2	213:3	255:7	489:0	984:0	1008:0
10	15:5	40:1	48:4	72:10	106:6	131:7	337:10	537:9	589:0	613:0
10	18:3	46:3	69:1	84:3	107:12	138:6	311:10	558:0	769:0	793:0
10	8:7	26:12	50:1	78:12	98:1	206:9	315:12	560:0	1052:0	1076:0
10	21:4	37:3	56:9	76:1	105:13	167:0	402:8	445:0	747:0	771:0
10	10:6	33:2	60:5	89:1	113:6	207:1	345:8	522:1	871:0	895:0
10	4:13	32:10	54:1	90:0	106:1	233:1	369:2	451:5	929:0	953:0
10	18:14	40:6	48:10	95:8	102:0	161:0	337:12	414:12	806:0	830:0
10	17:14	27:4	68:4	91:8	111:13	171:9	293:5	539:5	707:0	731:0
10	21:6	44:2	71:5	76:2	100:7	194:2	356:8	509:2	882:0	906:0
10	12:1	41:0	51:10	86:11	116:1	185:1	281:10	520:1	1023:0	1047:0
10	8:8	45:1	65:3	92:0	102:1	121:1	393:6	465:12	685:0	709:0
10	6:6	29:2	56:5	85:1	109:6	203:1	341:8	518:1	867:0	891:0
10	0:12	27:1	54:5	91:2	104:14	224:10	363:10	480:1	671:0	695:0
10	1:0	40:0	55:1	72:11	111:0	174:1	242:0	431:2	818:0	842:0
10	11:4	39:4	62:2	77:4	100:13	131:7	304:11	575:0	786:0	810:0
10	13:6	36:2	63:5	92:1	116:6	210:1	348:8	525:1	874:0	898:0
10	15:6	33:11	57:0	85:11	105:0	213:8	322:11	567:14	1035:0	1059:0
10	14:11	34:1	61:3	91:3	113:0	200:5	292:4	475:0	612:0	636:0
10	23:10	46:3	54:0	81:5	117:4	226:0	251:4	536:11	940:0	964:0
10	10:14	32:6	64:9	87:8	118:14	153:0	353:11	430:11	798:0	822:0
10	7:7	25:12	49:1	77:12	97:1	205:9	314:12	559:0	1051:0	1075:0
10	20:0	35:1	50:2	91:11	106:1	169:2	261:0	426:3	837:0	861:0
